district_name,state,schooldistrictunified,total_commuters,commute_Less_than_5_minutes,commute_5_to_9_minutes,commute_10_to_14_minutes,commute_15_to_19_minutes,commute_20_to_24_minutes,commute_25_to_29_minutes,commute_30_to_34_minutes,commute_35_to_39_minutes,commute_40_to_44_minutes,commute_45_to_59_minutes,commute_60_to_89_minutes,commute_90_or_more_minutes,agg_travel_time,agg_travel_time_m,agg_travel_time_f,commute_under_30,commute_greater_than_30,percent_under_30,mean_commute_time,total_population,percent_drive_alone
"Nicolet Union High School District, Wisconsin",55,05490,11667.0,281.0,1199.0,1610.0,2241.0,2121.0,987.0,1666.0,277.0,308.0,553.0,280.0,144.0,258445.0,132210.0,126235.0,8439.0,3228.0,0.7233221907945487,22.15179566298106,25544.0,0.8213077790304397
"Hartford Union High School District, Wisconsin",55,06120,16908.0,665.0,2053.0,2156.0,1518.0,1979.0,1511.0,2400.0,945.0,1236.0,1770.0,468.0,207.0,431265.0,240560.0,190705.0,9882.0,7026.0,0.584457061745919,25.506564939673527,32512.0,0.8374356362813331
"Arrowhead Union High School District, Wisconsin",55,06180,16335.0,472.0,1295.0,2171.0,2365.0,2481.0,1805.0,2280.0,728.0,741.0,1212.0,502.0,283.0,410435.0,237045.0,173390.0,10589.0,5746.0,0.6482399755127027,25.126109580655037,34240.0,0.864871099832747
"Lake Geneva-Genoa City Union High School District, Wisconsin",55,07650,11274.0,462.0,1716.0,1830.0,1452.0,1340.0,637.0,840.0,221.0,195.0,907.0,1267.0,407.0,304760.0,191625.0,113135.0,7437.0,3837.0,0.6596593932943055,27.032109277984745,24653.0,0.8334761007366798
"Lakeland Union High School District, Wisconsin",55,09630,6845.0,399.0,1459.0,1321.0,1364.0,758.0,263.0,441.0,105.0,192.0,214.0,173.0,156.0,136845.0,77885.0,58960.0,5564.0,1281.0,0.8128560993425858,19.991964937910883,17963.0,0.8277747402952433
"Westosha Central High School District, Wisconsin",55,13290,9573.0,363.0,615.0,1002.0,1155.0,893.0,526.0,1436.0,436.0,881.0,1034.0,785.0,447.0,305960.0,172620.0,133345.0,4554.0,5019.0,0.4757129426512065,31.96072286639507,19816.0,0.8671608896012823
"Union Grove Union High School District, Wisconsin",55,15150,6120.0,293.0,914.0,616.0,657.0,1079.0,599.0,827.0,250.0,186.0,468.0,178.0,53.0,138665.0,70980.0,67685.0,4158.0,1962.0,0.6794117647058824,22.65767973856209,13299.0,0.82964358612027
"Big Foot Union High School District, Wisconsin",55,15480,4089.0,274.0,494.0,577.0,653.0,607.0,162.0,382.0,130.0,105.0,242.0,258.0,205.0,105030.0,59860.0,45170.0,2767.0,1322.0,0.6766935681095623,25.685986793837124,9264.0,0.8012408088235294
"Waterford Union High School District, Wisconsin",55,15600,9147.0,265.0,788.0,651.0,763.0,987.0,782.0,1558.0,828.0,824.0,1120.0,446.0,135.0,272255.0,150865.0,121390.0,4236.0,4911.0,0.4631026566087242,29.764403629605336,18435.0,0.869491704533446
"Wilmot Union High School District, Wisconsin",55,16770,9127.0,440.0,775.0,739.0,865.0,768.0,635.0,1133.0,345.0,596.0,1389.0,1072.0,370.0,305515.0,169220.0,136295.0,4222.0,4905.0,0.46258354333296814,33.473759176071,18970.0,0.8481897099301292
"Remainder of Wisconsin, Wisconsin",55,99999,2618671.0,121003.0,360638.0,448226.0,434954.0,387193.0,173904.0,277480.0,70524.0,77571.0,143734.0,80174.0,43270.0,56970935.0,31242845.0,25728090.0,1925918.0,692753.0,0.7354562677022046,21.755667283137132,5527421.0,0.804102847424766
"Spaulding Union High School District 41, Vermont",50,00002,8214.0,442.0,1139.0,2055.0,1477.0,900.0,278.0,612.0,31.0,96.0,642.0,461.0,81.0,168580.0,88525.0,80055.0,6291.0,1923.0,0.7658875091307523,20.523496469442417,16775.0,0.7540051079637798
"Essex Community Education Center, Vermont",50,00006,10988.0,227.0,1276.0,1579.0,2413.0,2467.0,835.0,1136.0,197.0,177.0,472.0,97.0,112.0,221700.0,110065.0,111635.0,8797.0,2191.0,0.8006006552602839,20.17655624317437,20419.0,0.8225190839694656
"Bellows Free Academy Union High School District 48, Vermont",50,02085,6163.0,542.0,1460.0,936.0,539.0,279.0,162.0,649.0,382.0,514.0,534.0,137.0,29.0,125330.0,73825.0,51505.0,3918.0,2245.0,0.6357293525880253,20.33587538536427,13113.0,0.7807620237351656
"Randolph Union High School District 2, Vermont",50,02400,3451.0,236.0,506.0,468.0,327.0,368.0,133.0,578.0,63.0,122.0,304.0,271.0,75.0,87720.0,45310.0,42405.0,2038.0,1413.0,0.5905534627644161,25.41871921182266,7265.0,0.727812247100081
"Brattleboro Union High School District 6, Vermont",50,02520,6322.0,252.0,1467.0,1737.0,897.0,644.0,296.0,499.0,62.0,119.0,107.0,163.0,79.0,107430.0,59230.0,48200.0,5293.0,1029.0,0.8372350521986713,16.993040177159127,13896.0,0.7028985507246377
"Champlain Valley Union High School District 15, Vermont",50,03030,11766.0,419.0,1056.0,1680.0,2357.0,2171.0,1242.0,1226.0,315.0,287.0,710.0,106.0,197.0,265445.0,147435.0,118010.0,8925.0,2841.0,0.7585415604283529,22.560343362230153,24914.0,0.8191922354414527
"Danby School District, Vermont",50,03430,618.0,30.0,51.0,43.0,58.0,145.0,45.0,97.0,31.0,12.0,69.0,24.0,13.0,16235.0,7635.0,8600.0,372.0,246.0,0.6019417475728155,26.27022653721683,1356.0,0.753030303030303
"Fair Haven Union High School District 16, Vermont",50,03900,4374.0,439.0,632.0,407.0,363.0,828.0,436.0,543.0,50.0,131.0,258.0,127.0,160.0,105650.0,58490.0,47165.0,3105.0,1269.0,0.7098765432098766,24.154092363968907,9967.0,0.7836682342881574
"Harwood Union High School District 19, Vermont",50,04580,3179.0,219.0,434.0,514.0,472.0,305.0,168.0,241.0,78.0,129.0,296.0,265.0,58.0,80385.0,44090.0,36295.0,2112.0,1067.0,0.6643598615916955,25.286253538848694,6229.0,0.7504136789851076
"Hubbardton School District, Vermont",50,04740,253.0,3.0,2.0,17.0,10.0,55.0,26.0,95.0,5.0,5.0,14.0,4.0,17.0,8045.0,4785.0,3265.0,113.0,140.0,0.44664031620553357,31.798418972332016,644.0,0.8029197080291971
"Lake Region Union High School District 24, Vermont",50,05050,2958.0,158.0,326.0,334.0,397.0,423.0,300.0,418.0,62.0,45.0,204.0,128.0,163.0,80595.0,46840.0,33755.0,1938.0,1020.0,0.6551724137931034,27.246450304259636,7262.0,0.7796238244514107
"Lamoille Union High School District 18, Vermont",50,05060,6176.0,357.0,772.0,705.0,954.0,569.0,267.0,720.0,180.0,422.0,638.0,504.0,88.0,164645.0,95075.0,69565.0,3624.0,2552.0,0.5867875647668394,26.658840673575128,12707.0,0.7732134552782515
"Leland and Gray Union High School District 34, Vermont",50,05120,2055.0,95.0,154.0,204.0,252.0,325.0,165.0,327.0,96.0,110.0,220.0,63.0,44.0,56355.0,30860.0,25495.0,1195.0,860.0,0.5815085158150851,27.423357664233578,4749.0,0.7582052347320316
"Middlebury Union High School District 3, Vermont",50,05520,6360.0,655.0,1649.0,1213.0,871.0,651.0,229.0,400.0,40.0,99.0,194.0,272.0,87.0,108705.0,55975.0,52730.0,5268.0,1092.0,0.8283018867924529,17.09198113207547,14534.0,0.6284317953140721
"Missisquoi Valley Union High School District 7, Vermont",50,05620,5368.0,238.0,501.0,718.0,875.0,800.0,244.0,488.0,155.0,286.0,617.0,335.0,111.0,143275.0,79270.0,64005.0,3376.0,1992.0,0.6289120715350224,26.690573770491802,11386.0,0.7971092077087795
"Mount Anthony Union High School District 14, Vermont",50,05810,5789.0,565.0,1710.0,1321.0,509.0,394.0,93.0,531.0,52.0,63.0,187.0,277.0,87.0,104520.0,62485.0,42035.0,4592.0,1197.0,0.7932285368802902,18.054931767144584,13688.0,0.7465696809389982
"Mount Mansfield Union School District 17, Vermont",50,05840,8342.0,193.0,421.0,518.0,1146.0,1248.0,928.0,1797.0,592.0,521.0,668.0,183.0,127.0,228335.0,122080.0,106255.0,4454.0,3888.0,0.5339247182929753,27.371733397266844,15330.0,0.814109619194365
